id,name,timestamp,free_bikes,empty_slots,uid,last_updated,slots,normal_bikes,ebikes
023efce1bbb332a1b918d56aeb671890,Avenida de Arteixo,2024-12-18T00:00:32.499088Z,0,15,53,1734479988,15,0,0
02cecd02915c86d7ab8034b61b19da0e,Mercado de Monte Alto,2024-12-18T00:00:32.498961Z,11,4,43,1734479827,15,5,6
030c4027b0bea390e562645c7082db4c,Los Rosales,2024-12-18T00:00:32.498328Z,10,15,11,1734479941,25,0,10
0e3aa0134a2f3d07ae5bd093e6af9a33,Plaza de Portugal,2024-12-18T00:00:32.499117Z,2,18,55,1734479962,20,1,1
104e0797759d11ac22a61cfed357800b,Ventorrillo,2024-12-18T00:00:32.498652Z,10,8,27,1734479857,18,8,2
10af3b0e504fc241415d4047a58bfb5b,Cd Castrillón,2024-12-18T00:00:32.498607Z,8,7,23,1734479958,15,5,3
15b6693701eb534cddabc0bdd4c3b8a2, Pablo Picasso,2024-12-18T00:00:32.498629Z,10,9,25,1734472043,19,10,0
16d30b6bb080c9ceac0ab0ca3b20111a,Barrio de las Flores,2024-12-18T00:00:32.498696Z,11,12,31,1734479893,23,10,1
18b3d4c21c5cec9d8e25fa0a6cab109a,Torre de Hércules,2024-12-18T00:00:32.498246Z,7,8,5,1734479837,15,5,2
18e32269ce7f371acf5ca7f016b07a2a,Campo de Marte,2024-12-18T00:00:32.498497Z,4,11,17,1734479890,15,2,2
198820c7b5fc5681e896110c4383a4a0,Hospital Abente y Lago,2024-12-18T00:00:32.498949Z,0,15,42,1734479903,15,0,0
1a77b47ff9c828307610737e1a9046c3,Plaza de Tabacos,2024-12-18T00:00:32.498362Z,10,9,14,1734479886,19,10,0
1df27d4197c65e404466107444967600,Casa del Agua,2024-12-18T00:00:32.499203Z,3,11,57,1734479941,16,3,0
2139f0834a27ab807a5edb3420c2841e,Plaza De Pontevedra,2024-12-18T00:00:32.498165Z,7,21,3,1734479960,29,7,0
280380564f13b15dbc782a43d2426689,Estación Autobuses,2024-12-18T00:00:32.498291Z,1,14,8,1734479934,15,1,0
2ad08bdfd5fda295855b0297d410716f,Orillamar,2024-12-18T00:00:32.498912Z,9,6,40,1734479979,15,7,2
2cdf0b7a087c888dee45f8c619ea5bb2,Aquarium,2024-12-18T00:00:32.498223Z,12,2,4,1734479980,15,10,2
2d16841278003915e01f897638776f63,Parque de Oza,2024-12-18T00:00:32.499032Z,10,5,49,1734479897,15,10,0
305b3112f5f1083876b2ce9146742596,Aparcamiento Matogrande,2024-12-18T00:00:32.498373Z,10,5,15,1734479923,15,7,3
447505d0e57db2f71d7572ceedcbb046,Agrela,2024-12-18T00:00:32.498663Z,6,17,28,1734479996,23,6,0
4c0262f67097091b43ca54b09a072bce,Paseo de Los Puentes,2024-12-18T00:00:32.498563Z,0,19,20,1734479846,19,0,0
5053bbeb34b876b59c45121ab341af93,Ágora,2024-12-18T00:00:32.498972Z,1,21,44,1734479932,23,0,1
